problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
ไม่ได้ระบุ,น้ำเปล่าเหลือครึ่งขวด,น้ำและเสบียง,เด็กเล็ก คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำเปล่าเหลือครึ่งขวดในหมู่บ้านซอยวุฒิธานี หลังตลาดสมอล์ คลองร 5,message_00007
น้ำท่วมสูงถึงชั้นสอง,น้ำท่วมสูงถึงชั้นสอง อาหารใกล้หมด ผู้หญิง 2 คนอายุ 65 มีโรคความดันและข้อเข่าไม่ดี อีกคนอายุ 49 ติดต่อไม่ได้มาสามวัน,ความช่วยเหลือด่วน,"ผู้หญิงอายุ 65, ผู้หญิงอายุ 49",ผู้ร้องขอความช่วยเหลือด่วนเนื่องจากน้ำท่วมสูงถึงชั้นสอง อาหารใกล้หมด และมีผู้หญิงอายุ 65 มีโรคความดันและข้อเข่าไม่ดี อีกคนอายุ 49 ติดต่อไม่ได้มาสามวัน,message_00008
น้ำขึ้นชั้น 2,ผู้ใหญ่ 2 คนติดอยู่ที่ร้านโก๋พ่อบ้าน ขาดการติดต่อตั้งแต่ 23 พฤศจิกายน ไม่ทราบสภาพญาติ,เรืออพยพ,ผู้ใหญ่,ผู้ร้องขอเรืออพยพเนื่องจากน้ำขึ้นชั้น 2 ผู้ใหญ่ 2 คนติดอยู่ที่ร้านโก๋พ่อบ้าน ขาดการติดต่อตั้งแต่ 23 พฤศจิกายน ไม่ทราบสภาพญาติ,message_00011
น้ำท่วมสูงถึงชั้น 2,น้ำท่วมสูงถึงชั้น 2 ขาดอาหารจำนวนมาก,อพยพ อาหาร,ไม่ได้ระบุ,ผู้ร้องขออพยพและอาหารจำนวนมากเนื่องจากน้ำท่วมสูงถึงชั้น 2,message_00012
ไม่ได้ระบุ,บ้านเลขที่ 83 ซอย9 มีเด็ก1คน ผู้สูงอายุ1คน ผู้ใหญ่1คน กิ่งพลอย,ไม่ได้ระบุ,เด็ก ผู้สูงอายุ,บ้านเลขที่ 83 ซอย9 มีเด็ก1คน ผู้สูงอายุ1คน ผู้ใหญ่1คน กิ่งพลอย โดยปัญหาไม่ได้ระบุ,message_00002
ไม่ได้ระบุ,ไม่ได้ระบุ,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด้วยเรือไปยังพื้นที่ปลอดภัย,message_00004
น้ำท่วมสูง,น้ำท่วมสูง,เรืออพยพ,ไม่ได้ระบุ,ผู้ร้องขอเรืออพยพเนื่องจากน้ำท่วมสูง,message_00005
น้ำท่วมสูง,น้ำท่วมสูง,เรือ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงและต้องการเรือ,message_00006
น้ำใกล้ท่วมชั้นสอง,ติดอยู่ในบ้าน 4 วัน ไม่มีเรือและอาหาร น้ำใกล้ท่วมชั้นสอง,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากติดอยู่ในบ้าน 4 วัน ไม่มีเรือและอาหาร น้ำใกล้ท่วมชั้นสอง,message_00015
น้ำท่วมสูง,น้ำท่วมสูง มีผู้ประสบภัยติดอยู่เป็นจำนวนมาก,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ประสบภัยรายนี้เผชิญกับน้ำท่วมสูงและมีผู้ติดอยู่จำนวนมาก,message_00016
น้ำขึ้นชั้นสอง,น้ำขึ้นชั้นสอง ระหว่างซอย 30‑32 ขาดการติดต่อตั้งแต่ 22 พ.ย.,ไม่ได้ระบุ,ไม่ได้ระบุ,สถานที่บอคซ์ บูติคน์ รีสอร์ท ราษฎร์อุทิศ เขต8 ระหว่างซอย 30‑32 น้ำขึ้นชั้นสอง ขาดการติดต่อตั้งแต่ 22 พ.ย.,message_00017
น้ำท่วมสูง,ต้องการเรือ น้ำอาหาร ยารักษาโรค,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอน้ำท่วมสูง ต้องการเรือ น้ำอาหาร ยารักษาโรค,message_00018
น้ำท่วมสูง,น้ำท่วมสูง ขาดแคลนอาหาร มีหลายครัวเรือนต้องการความช่วยเหลือ บ้านข้างๆมีผู้ป่วยติดเตียง,ต้องการเรือ อพยพ,ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ขาดแคลนอาหาร มีหลายครัวเรือนต้องการความช่วยเหลือ และบ้านข้างๆมีผู้ป่วยติดเตียง,message_00019
น้ำขึ้นชั้น 2,น้ำขึ้นชั้น 2 บ้าน 2 ชั้น มีผู้สูงอายุ 60 ปีติดอยู่ในบ้าน แบตหมด,เรืออพยพ,ผู้สูงอายุ,ผู้ร้องขออพยพด้วยเรือเนื่องจากน้ำขึ้นชั้น 2 บ้าน 2 ชั้น มีผู้สูงอายุ 60 ปีติดอยู่ในบ้านและแบตหมด,message_00020
